"wine_name","style"
"Nicosia 2013 Vulkà Bianco","Full-Bodied White Wines"
"Quiévremont 2012 Vin de Maison Red","Medium-Bodied Red Wines"
"Baglio di Pianetto 2007 Ficiligno White","Aromatic White Wines"
"Stemmari 2013 Dalila White","Medium-Bodied Red Wines"
"Terre di Giurfo 2011 Mascaria Barricato","Full-Bodied Red Wines"
"Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red","Full-Bodied Red Wines"
"Duca di Salaparuta 2011 Calanìca Grillo-Viognier White","Aromatic White Wines"
"Envolve 2010 Puma Springs Vineyard Red","Medium-Bodied Red Wines"
"Tarara 2010 #SocialSecret Red","Medium-Bodied Red Wines"
"Viticultori Associati Canicatti 2008 Scialo Red","Full-Bodied Red Wines"
"Corvo 2010 Rosso Red","Medium-Bodied Red Wines"
"Cocobon 2014 Red","Full-Bodied Red Wines"
"Ferrari-Carano 2014 Siena Red","Medium-Bodied Red Wines"
"Madonna Alta 2014 Nativo Red","Medium-Bodied Red Wines"
"Marchesi Antinori 2015 Villa Antinori White","Full-Bodied White Wines"
"Marchesi de' Frescobaldi 2014 Castiglioni Red","Medium-Bodied Red Wines"
"Ornellaia 2014 Le Volte Red","Full-Bodied Red Wines"
"Podere Ciona 2014 Semifonte Red","Full-Bodied Red Wines"
"Poggioventoso 2015 Poetico White","Aromatic White Wines"
"Tenuta Forconi 2013 Toscano Red","Medium-Bodied Red Wines"
"Pierre Sparr 2008 Alsace One White","Aromatic White Wines"
"Chronic Cellars 2013 Mr. Nibbles Red","Full-Bodied Red Wines"
"Conde de Velázquez 2012 Condesa Real Premium Blend Red","Medium-Bodied Red Wines"
"TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red","Full-Bodied Red Wines"
"Abbazia Santa Anastasia 2003 Montenero Red","Medium-Bodied Red Wines"
"Fattoria Alois 2007 Campole Red","Medium-Bodied Red Wines"
"Aldegheri 2003 Le Pietre Santambrogio Red","Medium-Bodied Red Wines"
"Terlan 2014 Nova Domus Riserva White","Full-Bodied White Wines"
"Delaire Graff 2013 Reserve White","Aromatic White Wines"
"MCV 2014 1105 Red","Medium-Bodied Red Wines"
"Benessere 2005 Costa Del Sol Red","Full-Bodied Red Wines"
"J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red","Medium-Bodied Red Wines"
"Graham Beck 2007 The William Red","Full-Bodied Red Wines"
"Algodon 2008 Estate Blend Gran Reserva Red","Full-Bodied Red Wines"
"Beaver Creek 2008 Fairytale Red","Medium-Bodied Red Wines"
"Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red","Full-Bodied Red Wines"
