"variety","style"
"Viura-Verdejo","Light-Bodied White Wines"
"Xarel-lo","Aromatic White Wines"
"Merlot-Syrah","Medium-Bodied Red Wines"
"Bual","Dessert & Fortified Wines"
"Meseguera","Light-Bodied White Wines"
"Syrah-Grenache-Viognier","Medium-Bodied Red Wines"
"Primitivo","Full-Bodied Red Wines"
"Roditis","Light-Bodied White Wines"
"Silvaner","Light-Bodied White Wines"
"Casavecchia","Medium-Bodied Red Wines"
"Trepat","Light-Bodied Red Wines"
"Corvina, Rondinella, Molinara","Medium-Bodied Red Wines"
"Pallagrello Bianco","Light-Bodied White Wines"
"Mondeuse","Medium-Bodied Red Wines"
"Sauvignon Blanc-Sauvignon Gris","Aromatic White Wines"
"Tinta Francisca","Medium-Bodied Red Wines"
"Muskat","Aromatic White Wines"
"Malbec-Cabernet","Full-Bodied Red Wines"
"Chenin Blanc","Aromatic White Wines"
"Zierfandler","Aromatic White Wines"
"Tannat","Full-Bodied Red Wines"
"Ugni Blanc","Light-Bodied White Wines"
"Manzoni","Light-Bodied White Wines"
"Tempranillo-Syrah","Full-Bodied Red Wines"
"Cabernet-Syrah","Full-Bodied Red Wines"
"Sémillon","Aromatic White Wines"
"Trincadeira","Medium-Bodied Red Wines"
"Tannat-Cabernet","Full-Bodied Red Wines"
"Malvasia di Candia","Aromatic White Wines"
"Nero di Troia","Full-Bodied Red Wines"
"Mauzac","Aromatic White Wines"
"Mataro","Full-Bodied Red Wines"
"Cortese","Light-Bodied White Wines"
"Freisa","Light-Bodied Red Wines"
"Trousseau","Light-Bodied Red Wines"
"Babosa Negro","Medium-Bodied Red Wines"
"Cabernet Sauvignon Grenache","Full-Bodied Red Wines"
"Cabernet Sauvignon-Syrah","Full-Bodied Red Wines"
"Tinto Fino","Full-Bodied Red Wines"
"Saperavi","Full-Bodied Red Wines"
"Refosco","Medium-Bodied Red Wines"
"Baga","Medium-Bodied Red Wines"
"Malvar","Light-Bodied White Wines"
"Loureiro","Aromatic White Wines"
"Castelão","Medium-Bodied Red Wines"
"Prosecco","Champagne & Sparkling Wines"
"Nielluciu","Medium-Bodied Red Wines"
"Chardonnay-Sauvignon","Light-Bodied White Wines"
"Sangiovese Grosso","Full-Bodied Red Wines"
"Sauvignon Blanc","Aromatic White Wines"
"Graciano","Medium-Bodied Red Wines"
"Mandilaria","Medium-Bodied Red Wines"
"Inzolia","Light-Bodied White Wines"
"Tannat-Cabernet Franc","Full-Bodied Red Wines"
"Muscat","Aromatic White Wines"
"Rieslaner","Aromatic White Wines"
"Lambrusco di Sorbara","Light-Bodied Red Wines"
"Macabeo","Light-Bodied White Wines"
"Shiraz-Grenache","Full-Bodied Red Wines"
"Gamay","Light-Bodied Red Wines"
"Syrah-Cabernet Sauvignon","Full-Bodied Red Wines"
"Marsanne","Full-Bodied White Wines"
"Espadeiro","Light-Bodied Red Wines"
"Malbec-Cabernet Sauvignon","Full-Bodied Red Wines"
"Muscat Blanc à Petits Grains","Aromatic White Wines"
"Sylvaner","Light-Bodied White Wines"
"Mourvèdre-Syrah","Full-Bodied Red Wines"
"Franconia","Medium-Bodied Red Wines"
"Cabernet Sauvignon-Cabernet Franc","Full-Bodied Red Wines"
"Moscatel Graúdo","Aromatic White Wines"
"Seyval Blanc","Light-Bodied White Wines"
"Karasakiz","Medium-Bodied Red Wines"
"Elbling","Light-Bodied White Wines"
"Moschofilero-Chardonnay","Light-Bodied White Wines"
"Gamza","Light-Bodied Red Wines"
"Carmenère-Syrah","Full-Bodied Red Wines"
"Grenache-Syrah","Full-Bodied Red Wines"
"Prieto Picudo","Medium-Bodied Red Wines"
"Pignoletto","Aromatic White Wines"
"Grillo","Light-Bodied White Wines"
"Bacchus","Aromatic White Wines"
"Sauvignon Blanc-Assyrtiko","Aromatic White Wines"
"Malbec-Syrah","Full-Bodied Red Wines"
"Cinsault","Light-Bodied Red Wines"
"Marquette","Medium-Bodied Red Wines"
"Assyrtiko","Light-Bodied White Wines"
"Pinot Blanc-Chardonnay","Light-Bodied White Wines"
"Frappato","Light-Bodied Red Wines"
"Marselan","Full-Bodied Red Wines"
"Blauburger","Medium-Bodied Red Wines"
"Shiraz-Tempranillo","Full-Bodied Red Wines"
